,brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
67,Hyundai,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000
68,Maruti,4,70000,Individual,Diesel,Manual,26.59,1248,74,5,560000
71,Hyundai,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000
72,Hyundai,14,56000,Dealer,Petrol,Manual,17.8,1086,63,5,125000
75,Hyundai,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
76,Mahindra,4,50000,Individual,Diesel,Manual,15.4,1997,120,7,1150000
77,Volkswagen,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000
78,Mahindra,2,36000,Individual,Diesel,Manual,17.3,1497,121,7,990000
79,Hyundai,8,47876,Dealer,Diesel,Manual,25,1493,113.42,5,551000
80,Mahindra,3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000
81,Hyundai,6,75000,Dealer,Diesel,Manual,24,1120,70,5,350000
82,Ford,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000
83,Maruti,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000
84,Hyundai,3,50000,Individual,Diesel,Manual,24,1186,73.97,5,545000
85,Ford,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000
86,Honda,7,50000,Individual,Petrol,Manual,18,1198,86.7,5,400000
87,Maruti,15,37000,Dealer,Petrol,Manual,14,1061,64,5,155000
89,Maruti,5,47000,Dealer,Diesel,Manual,26.59,1248,74,5,545000
90,Honda,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
91,Renault,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000
92,Maruti,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
93,Ford,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000
94,Hyundai,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000
95,Maruti,10,160000,Individual,Diesel,Manual,17.8,1248,75,5,225000
96,Tata,4,32100,Individual,Petrol,Manual,23.84,1199,84,5,400000
97,Hyundai,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000
98,Mahindra,5,44000,Dealer,Diesel,Manual,15.4,2179,120,7,1050000
99,Volkswagen,5,78000,Dealer,Petrol,Manual,18.78,1198,74,5,450000
100,Mercedes-Benz,9,74352,Dealer,Petrol,Automatic,11.74,1796,186,5,775000
101,Maruti,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000
102,Honda,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000
103,Kia,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000
104,Maruti,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000
105,Toyota,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000
106,Maruti,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000
107,Hyundai,10,160000,Individual,Diesel,Manual,21.9,1396,90,5,270000
109,Ford,10,40000,Individual,Petrol,Manual,15.6,1196,70,5,130000
110,Maruti,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000
111,Maruti,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000
113,Volkswagen,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000
114,Hyundai,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000
115,Hyundai,3,14000,Dealer,Diesel,Automatic,22,1582,126.2,5,1250000
116,Hyundai,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000
117,Maruti,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000
118,Ford,4,55000,Dealer,Diesel,Manual,23,1498,98.96,5,685000
119,Hyundai,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000
120,Renault,3,22000,Individual,Petrol,Manual,23.01,999,67,5,330000
121,Maruti,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000
122,Maruti,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000
123,Maruti,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000
124,Hyundai,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000
126,Hyundai,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000
127,Maruti,7,28000,Dealer,Petrol,Manual,16.1,1197,85,5,435000
128,Hyundai,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000
130,Hyundai,2,14000,Dealer,Diesel,Automatic,22,1582,126.2,5,1250000
132,Maruti,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000
133,Maruti,6,58000,Dealer,Diesel,Manual,25.2,1248,74,5,415000
134,Maruti,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000
135,Mahindra,5,46400,Dealer,Diesel,Manual,15.4,2179,120,7,1150000
136,Hyundai,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000
137,Datsun,6,35000,Individual,Petrol,Manual,19.44,1198,67,7,350000
138,Mahindra,4,30000,Dealer,Diesel,Manual,15.4,1997,120,7,1125000
139,BMW,5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000
141,Datsun,3,10000,Individual,Petrol,Manual,20.62,1198,67,7,480000
142,Maruti,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000
143,Hyundai,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000
144,Maruti,3,35000,Dealer,Petrol,Manual,22,1197,81.8,5,575000
145,Maruti,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000
147,Ford,3,55000,Individual,Diesel,Manual,23,1498,98.96,5,925000
148,Hyundai,6,36000,Dealer,Petrol,Manual,18.9,1197,82,5,400000
150,Honda,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
151,Maruti,7,35000,Individual,Diesel,Manual,23.4,1248,74,5,600000
152,Mahindra,8,95000,Individual,Diesel,Manual,12.05,2179,120,8,550000
153,Ford,4,36000,Dealer,Diesel,Manual,25.83,1498,99,5,585000
154,Maruti,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000
155,Maruti,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000
156,Honda,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000
157,Volkswagen,6,46000,Dealer,Petrol,Manual,16.47,1198,74,5,455000
158,Hyundai,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000
161,Honda,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000
164,Ford,3,11387,Individual,Diesel,Automatic,10.91,3198,197,7,2900000
165,Honda,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000
166,Mahindra,5,52000,Dealer,Diesel,Manual,25.32,1198,77,5,375000
168,Datsun,6,35000,Individual,Petrol,Manual,19.44,1198,67,7,400000
169,Renault,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000
170,Honda,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000
171,Maruti,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000
172,Hyundai,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000
173,Hyundai,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
176,Maruti,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000
178,BMW,5,68000,Dealer,Diesel,Automatic,22.69,1995,190,5,2090000
180,Kia,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000
182,Maruti,6,65000,Dealer,Diesel,Manual,28.4,1248,74,5,495000
186,Hyundai,5,25000,Individual,Petrol,Manual,18.9,1197,82,5,475000
189,Maruti,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000
190,Tata,5,9500,Individual,Petrol,Manual,23.84,1199,84,5,530000
191,Hyundai,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000
193,Honda,11,86000,Dealer,Petrol,Manual,17,1497,118,5,335000
195,Audi,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000
196,Ford,10,60000,Individual,Diesel,Manual,20,1399,68,5,300000
197,Maruti,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000
198,Maruti,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74,5,390000
199,Mahindra,13,220000,Individual,Diesel,Manual,13.6,2523,63,7,260000
200,Tata,4,58000,Dealer,Diesel,Manual,24.7,1047,69,5,395000
201,Mahindra,9,170000,Individual,Diesel,Manual,12.05,2179,120,8,550000
202,Maruti,3,15000,Individual,Petrol,Manual,22,1197,81.8,5,650000
203,Maruti,5,71245,Dealer,Diesel,Manual,28.4,1248,74,5,375000
207,Kia,2,7000,Individual,Petrol,Manual,16.1,1353,138,5,1300000
208,Maruti,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000
209,Maruti,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000
210,Maruti,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000
211,Hyundai,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000
214,Mahindra,15,120000,Individual,Diesel,Manual,13.6,2523,63,7,150000
215,Maruti,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000
216,Maruti,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000
217,Hyundai,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000
220,Maruti,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000
221,Ford,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000
222,Ford,3,7500,Individual,Diesel,Manual,23,1498,98.96,5,890000
223,Tata,5,47227,Dealer,Diesel,Manual,14,2179,138.1,7,775000
224,Maruti,3,52000,Dealer,CNG,Manual,33.54,998,67.04,5,435000
225,Ford,9,74000,Dealer,Diesel,Manual,20,1399,68.05,5,185000
226,Mahindra,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000
227,Hyundai,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000
228,Maruti,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
229,Maruti,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000
230,Hyundai,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000
231,Ford,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000
232,Maruti,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000
233,Honda,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000
236,Hyundai,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
237,Maruti,4,60000,Individual,Petrol,Manual,22,1197,81.8,5,445000
238,Tata,8,67231,Dealer,Diesel,Manual,14,2179,138.1,7,705000
239,Maruti,8,64000,Dealer,CNG,Manual,33.54,998,67.04,5,270000
241,Honda,7,63000,Dealer,Diesel,Manual,26,1498,98.6,5,475000
242,Toyota,6,80000,Individual,Diesel,Manual,12.55,2982,168.5,7,1755000
243,Honda,10,55000,Dealer,Petrol,Manual,16.9,1497,100,5,350000
244,Hyundai,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
246,Renault,4,17000,Individual,Petrol,Manual,23.01,999,67,5,360000
247,Maruti,4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,275000
248,Datsun,5,33350,Individual,Petrol,Manual,19.44,1198,67,7,320000
250,Hyundai,6,62000,Dealer,Petrol,Manual,18.9,1197,82,5,370000
252,Maruti,12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,275000
254,Honda,7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000
256,Maruti,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
258,Maruti,6,92537,Individual,Petrol,Manual,20.51,998,67.04,5,272000
259,Maruti,2,27645,Dealer,Diesel,Manual,28.09,1248,88.5,5,951000
260,Maruti,8,46242,Individual,Petrol,Manual,20.92,998,67.1,5,280000
261,Honda,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
262,Renault,1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,450000
263,Hyundai,4,64000,Dealer,Petrol,Manual,18.6,1197,81.83,5,480000
264,Mahindra,4,93000,Dealer,Diesel,Manual,15.4,1997,120,7,1060000
265,Maruti,8,26200,Dealer,Petrol,Manual,22.74,796,47.3,5,235000
266,Maruti,4,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,590000
269,Toyota,3,50000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,2950000
270,Hyundai,13,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,110000
271,Mahindra,14,110000,Individual,Diesel,Manual,13.5,2179,115,5,280000
272,Audi,5,55000,Dealer,Petrol,Automatic,17.84,1395,147.51,5,1851000
273,Honda,3,25000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
274,Hyundai,6,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,400000
275,Maruti,6,40000,Individual,Diesel,Manual,26.59,1248,74,5,530000
276,Mahindra,3,25000,Individual,Diesel,Manual,16.55,2498,105,6,870000
277,Renault,3,30038,Dealer,Petrol,Manual,25.17,799,53.3,5,295000
278,Tata,4,53000,Individual,Diesel,Manual,27.28,1047,69,5,370000
279,Maruti,3,5000,Individual,Petrol,Manual,21.21,1197,81.8,5,530000
281,Renault,4,35000,Individual,Petrol,Automatic,24.04,999,67,5,350000
282,Ford,8,62000,Dealer,Diesel,Manual,22.7,1498,89.84,5,470000
283,Ford,6,42000,Individual,Diesel,Manual,25.83,1498,99,5,390000
285,Mahindra,6,80000,Individual,Diesel,Manual,15.4,2179,120,7,920000
286,Mahindra,8,60000,Individual,Diesel,Manual,15.1,2179,140,7,550000
287,Hyundai,7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5,635000
288,Mahindra,4,50000,Dealer,Diesel,Automatic,16,2179,140,7,1250000
289,Maruti,3,12000,Individual,Petrol,Manual,24.7,796,47.3,5,300000
290,Honda,3,12000,Individual,Petrol,Automatic,18,1497,117.6,5,960000
291,Maruti,3,15000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000
292,Volkswagen,10,63000,Dealer,Petrol,Manual,16.47,1198,73.9,5,249000
293,Tata,3,30000,Individual,Diesel,Manual,17.6,2179,153.86,7,1400000
294,Ford,10,160800,Individual,Diesel,Manual,20,1399,68,5,250000
295,Hyundai,7,120000,Individual,Diesel,Manual,22.32,1582,126.32,5,610000
297,Ford,5,78247,Dealer,Diesel,Manual,21.7,1498,98.96,5,545000
298,Hyundai,8,113000,Individual,Diesel,Manual,22.32,1582,126.3,5,480000
299,Hyundai,7,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,395000
300,Toyota,9,109000,Dealer,Diesel,Manual,12.99,2494,100.6,7,495000
301,Hyundai,4,90000,Individual,Petrol,Manual,18.9,1197,82,5,470000
305,Volkswagen,10,98000,Dealer,Diesel,Manual,22.07,1199,73.9,5,200000
306,Hyundai,5,20000,Individual,Diesel,Manual,21.19,1396,88.73,5,699000
308,Maruti,7,21717,Individual,Petrol,Manual,20.51,998,67.04,5,340000
309,Renault,7,40000,Individual,Diesel,Manual,20.45,1461,83.8,5,500000
310,Honda,4,50000,Individual,Petrol,Manual,17.14,1497,117.6,5,1050000
311,Renault,5,90000,Individual,Diesel,Manual,19.6,1461,108.45,5,600000
313,Maruti,4,27876,Dealer,Petrol,Manual,20.4,1197,81.8,5,491000
314,Land Rover,5,56000,Dealer,Petrol,Automatic,12.63,1999,177,5,2890000
315,Hyundai,13,57215,Individual,Petrol,Manual,20.36,1197,78.9,5,160000
316,Hyundai,2,5400,Dealer,Petrol,Manual,18.27,998,118.35,5,985000
317,Maruti,7,60000,Individual,Diesel,Manual,23.4,1248,74,5,500000
318,Tata,4,24800,Individual,Petrol,Manual,23.84,1199,84,5,335000
319,Maruti,16,70000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
321,Honda,3,20000,Dealer,Petrol,Automatic,17.1,1199,88.51,5,740000
323,Maruti,8,34553,Dealer,Petrol,Manual,22,1197,81.8,5,375000
324,Maruti,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,810000
325,Volkswagen,11,350000,Individual,Petrol,Manual,16.47,1198,73.9,5,173000
326,Maruti,4,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,700000
327,Mahindra,5,70000,Individual,Diesel,Manual,25.32,1198,77,6,310000
328,Mahindra,4,120000,Individual,Diesel,Manual,15.4,1997,120,7,850000
329,Hyundai,8,90000,Individual,Diesel,Manual,22.54,1396,88.76,5,285000
330,Maruti,7,120000,Individual,Diesel,Manual,23.4,1248,74,5,450000
331,Hyundai,4,80000,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000
333,Mahindra,4,30000,Individual,Diesel,Manual,15.4,1997,120,7,1080000
334,Honda,7,66100,Dealer,Diesel,Manual,26,1498,98.6,5,530000
335,Maruti,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,680000
336,Mahindra,4,42000,Dealer,Diesel,Manual,15.4,1997,120,7,1025000
337,Hyundai,4,55000,Individual,Petrol,Manual,18.6,1197,81.83,5,650000
338,Hyundai,9,110699,Dealer,Petrol,Manual,20.36,1197,78.9,5,194000
339,Maruti,2,5000,Individual,Petrol,Automatic,21.4,1197,83.1,5,686000
340,Maruti,5,50000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
341,Maruti,11,44000,Dealer,Petrol,Manual,19.1,1197,85.8,5,250000
342,Maruti,3,90000,Individual,Diesel,Manual,24.3,1248,88.5,5,730000
343,Hyundai,5,55000,Dealer,Petrol,Manual,17.01,1591,121.3,5,650000
344,Maruti,4,45000,Dealer,Diesel,Manual,24.3,1248,88.5,5,790000
345,Maruti,4,30000,Individual,Petrol,Manual,21.4,1197,83.1,5,620000
346,Hyundai,8,50000,Individual,Petrol,Manual,17.01,1591,121.3,5,510000
347,Maruti,8,20000,Individual,Petrol,Manual,15.37,1196,73,5,375000
349,Maruti,4,19843,Trustmark Dealer,Petrol,Automatic,21.21,1197,81.8,5,620000
351,Ford,10,30000,Individual,Diesel,Automatic,11.4,2953,153.86,7,950000
352,Toyota,4,52300,Dealer,Diesel,Manual,13.68,2393,147.51,7,1450000
353,Honda,5,40000,Individual,Petrol,Automatic,18,1497,117.3,5,845000
354,Maruti,7,61500,Dealer,Diesel,Manual,23.4,1248,74,5,390000
355,Honda,6,59000,Dealer,Petrol,Manual,18,1198,86.7,5,395000
356,Hyundai,3,40000,Individual,Petrol,Manual,18.9,1197,81.86,5,450000
357,Audi,8,60000,Individual,Diesel,Automatic,17.68,1968,174.33,5,1700000
358,Hyundai,8,61000,Dealer,Petrol,Manual,18.9,1197,82,5,325000
359,Mahindra,5,70000,Individual,Diesel,Manual,25.32,1198,77,6,350000
360,Mahindra,8,63000,Dealer,Diesel,Manual,15.1,2179,140,7,650000
361,Mercedes-Benz,9,58000,Dealer,Petrol,Manual,12.3,1796,185,5,1250000
364,Maruti,4,22000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
365,Honda,11,57977,Dealer,Petrol,Manual,17,1497,118,5,299000
367,Land Rover,3,13000,Dealer,Petrol,Automatic,12.19,1997,237.36,4,7000000
368,Mini,9,67000,Dealer,Petrol,Automatic,17.33,1998,189.08,4,1325000
369,Maruti,7,48242,Dealer,Diesel,Manual,20.77,1248,88.76,7,524000
370,Ford,9,68000,Dealer,Diesel,Manual,20,1399,68.05,5,169000
371,Maruti,7,40000,Individual,Diesel,Manual,20.77,1248,88.8,7,500000
372,Audi,9,98000,Dealer,Diesel,Automatic,12.07,2967,241.4,7,2000000
373,Maruti,8,113450,Individual,Diesel,Manual,23.4,1248,74,5,380000
374,Maruti,3,80000,Individual,Petrol,Automatic,20.51,998,67,5,400000
375,Hyundai,1,1000,Dealer,Petrol,Automatic,20.3,1086,68,5,565000
376,Maruti,6,20292,Dealer,Petrol,Manual,20.51,998,67.04,5,335000
377,Mahindra,11,67900,Dealer,Diesel,Manual,12.05,2179,120,7,300000
379,Mahindra,6,40000,Dealer,Diesel,Manual,15.4,1997,120,7,1051000
380,Hyundai,4,60000,Individual,Diesel,Manual,24,1186,73.97,5,510000
381,Renault,3,25000,Individual,Petrol,Automatic,24.04,999,67,5,370000
382,Maruti,15,70000,Individual,Petrol,Manual,18.9,998,67.1,5,200000
383,Maruti,3,21000,Individual,Diesel,Manual,27.39,1248,74,5,625000
384,Mahindra,3,39000,Dealer,Diesel,Manual,16.36,2179,140,7,1290000
385,Hyundai,4,30000,Dealer,Petrol,Manual,15.8,1591,121.3,5,890000
386,Hyundai,9,61000,Dealer,Diesel,Manual,22.32,1582,126.3,5,420000
387,Maruti,4,5743,Trustmark Dealer,Petrol,Manual,20.4,1197,83.11,5,500000
389,Hyundai,3,24200,Individual,Petrol,Manual,18.9,1197,81.86,5,600000
390,Maruti,4,57000,Individual,Diesel,Manual,27.39,1248,74,5,590000
391,Hyundai,10,58000,Dealer,Petrol,Manual,20.36,1197,78.9,5,190000
392,Datsun,4,15000,Individual,Petrol,Manual,19.44,1198,67,7,500000
393,Maruti,4,10000,Individual,Petrol,Manual,23.1,998,67.04,5,450000
396,Mahindra,6,100000,Individual,Diesel,Manual,15.1,2179,140,7,650000
397,BMW,1,2000,Dealer,Petrol,Automatic,11.29,2998,335,2,8250000
398,Maruti,1,10000,Individual,Petrol,Manual,20.52,1197,81.8,5,500000
400,Maruti,12,43000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
401,Honda,8,64000,Dealer,CNG,Manual,18,1198,86.7,5,349000
402,Maruti,7,30000,Individual,Petrol,Manual,20.51,998,67.06,5,325000
403,Honda,7,63000,Dealer,Petrol,Manual,17.8,1497,117.3,5,435000
404,Maruti,3,28000,Dealer,CNG,Manual,31.79,998,58.33,5,455000
405,Land Rover,3,25000,Individual,Petrol,Automatic,9.17,2995,335.25,7,6200000
406,Honda,4,32226,Dealer,Petrol,Manual,17.8,1497,117.3,5,755000
410,Maruti,7,65000,Individual,Petrol,Manual,23.95,998,67.05,5,245000
411,Kia,2,14000,Dealer,Diesel,Manual,20.8,1493,113.4,5,1350000
414,Renault,3,15000,Individual,Petrol,Automatic,24.04,999,67,5,310000
416,BMW,3,30000,Individual,Petrol,Automatic,14.28,1998,254.7,4,5500000
418,Maruti,3,32000,Dealer,Diesel,Manual,19.3,1248,73.9,5,675000
419,Maruti,2,30000,Individual,Petrol,Manual,20.52,1197,81.8,5,500000
420,Hyundai,11,25000,Individual,Petrol,Manual,20.36,1197,78.9,5,300000
421,Mahindra,5,35000,Individual,Diesel,Automatic,15.4,2179,120,7,1450000
422,Mahindra,8,140000,Individual,Diesel,Manual,12.05,2179,120,8,530000
423,Ford,7,65597,Trustmark Dealer,Diesel,Manual,22.7,1498,89.84,5,575000
424,Hyundai,4,35000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
425,Maruti,7,160000,Individual,Diesel,Manual,26.21,1248,88.5,5,500000
426,Maruti,1,7124,Individual,Petrol,Manual,21.01,1197,81.8,5,643000
427,Ford,2,15000,Individual,Petrol,Manual,18.1,999,123.24,5,1000000
430,Hyundai,5,34000,Individual,Petrol,Manual,18.9,1197,82,5,550000
432,Volkswagen,10,280000,Individual,Diesel,Manual,20.54,1598,103.6,5,300000
433,Tata,3,40000,Individual,Petrol,Manual,20.3,1199,84,5,470000
434,Honda,7,77000,Dealer,Diesel,Manual,26,1498,98.6,5,525000
435,Datsun,4,15000,Individual,Petrol,Manual,19.44,1198,67,7,469000
